Name,Year,Team,Position,2PT,3PT,DRB,ORB,AST,BLK,STL,SKL
Michael Jordan*,1991,CHI,SG,4,2,3,2,3,3,4,4
Michael Jordan*,1997,CHI,SG,3,3,3,2,3,3,3,4
Larry Bird*,1986,BOS,SF,3,4,3,3,4,3,3,3
Larry Bird*,1987,BOS,SF,4,3,3,2,4,3,3,3
Jason Williams,2001,SAC,PG,3,2,1,1,4,2,3,2
Jason Williams,2007,MIA,PG,3,2,1,1,4,1,3,3
Jason Williams,2008,MIA,PG,2,3,1,1,4,1,3,3
Pau Gasol,2010,LAL,C,4,1,4,3,3,3,1,3
Shaquille O'Neal*,1995,ORL,C,4,1,3,4,3,4,2,3
Shaquille O'Neal*,1996,ORL,C,4,1,4,3,3,4,1,3
Steve Nash,2000,DAL,PG,3,3,1,2,3,1,2,1
Steve Nash,2007,PHO,PG,4,4,2,1,4,1,2,1
Steve Nash,2010,PHO,PG,4,4,2,1,4,2,1,1
Kobe Bryant,1999,LAL,SG,3,1,2,2,3,3,3,2
Kobe Bryant,2007,LAL,SG,3,3,3,2,3,3,3,3
Kobe Bryant,2010,LAL,SG,3,2,2,2,3,2,3,3
LeBron James,2013,MIA,PF,4,3,3,2,4,3,3,3
LeBron James,2014,MIA,PF,4,3,3,2,4,2,3,2
LeBron James,2017,CLE,SF,4,3,3,2,4,3,3,2
Kevin Durant,2009,OKC,SF,3,4,3,2,3,3,3,3
Kevin Durant,2013,OKC,SF,4,4,3,1,3,3,3,3
Kevin Durant,2017,GSW,SF,4,3,4,1,3,4,2,3
Magic Johnson*,1984,LAL,PG,4,1,3,2,4,3,3,1
Magic Johnson*,1985,LAL,PG,4,1,3,2,4,2,3,1
Magic Johnson*,1989,LAL,PG,4,2,3,2,4,2,3,2
Peja Stojakovic,2002,SAC,SF,3,4,2,2,3,2,2,3
Peja Stojakovic,2004,SAC,SF,3,4,3,2,2,2,3,4
Kevin McHale*,1986,BOS,PF,4,1,3,3,3,3,1,3
Kevin McHale*,1987,BOS,PF,4,1,3,3,2,3,1,3
Kevin McHale*,1988,BOS,PF,4,1,3,3,3,3,1,3
Kevin McHale*,1991,BOS,PF,4,3,3,3,2,4,1,3
